symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration,entry_tag,exit_reason
MARUTI,2021-03-26,6784.45,2021-05-18,6788.0,0.05,32,Oversold-Decel,ExitReason.ST_CROSS
MARUTI,2021-08-11,7021.5,2021-10-25,7355.0,4.75,50,Oversold-Decel,ExitReason.ST_CROSS
MARUTI,2021-12-10,7425.65,2022-02-15,8410.0,13.26,46,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.CWC_SLOPE_EARLY_RELEASE
MARUTI,2022-12-16,8485.8,2023-02-08,8773.0,3.38,37,Oversold-Decel,ExitReason.PRT_ST_CROSS
MARUTI,2024-07-08,12023.6,2024-07-23,12720.0,5.79,10,Oversold-Decel,ExitReason.ST_CROSS
MARUTI,2024-11-13,11049.6,2024-11-19,11090.0,0.37,3,Oversold-Decel,ExitReason.ST_CROSS
MARUTI,2024-12-04,11129.85,2025-01-14,11533.95,3.63,28,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.PRT_ST_CROSS
MARUTI,2025-04-15,11855.0,2025-05-23,12450.0,5.02,26,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
MARUTI,2026-01-27,15245.0,2026-02-19,15163.0,-0.54,17,SavgolCTS CDVL-CTS,ExitReason.ST_CROSS
MARUTI,2026-03-04,14158.0,2026-04-17,13300.0,-6.06,28,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
MARUTI,2026-05-05,13426.0,2026-05-12,13442.0,0.12,5,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.PRT_ST_CROSS
MAXHEALTH,2020-11-05,114.55,2020-11-13,117.9,2.92,6,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
MAXHEALTH,2021-10-20,342.5,2022-01-11,399.0,16.5,56,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
MAXHEALTH,2022-02-08,359.9,2022-04-07,349.9,-2.78,40,Oversold-Decel,ExitReason.ST_CROSS
MAXHEALTH,2023-04-13,471.65,2023-04-20,471.4,-0.05,4,SavgolCTS Flow-Momentum,ExitReason.PRT_ST_CROSS
MAXHEALTH,2025-02-25,1022.9,2025-04-02,1094.1,6.96,23,Oversold-Decel,ExitReason.ST_CROSS
MAXHEALTH,2025-09-10,1180.7,2025-10-29,1185.0,0.36,32,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
MAXHEALTH,2025-12-17,1031.1,2026-02-10,1010.5,-2.0,36,Oversold-Decel,ExitReason.PRT_ST_CROSS
NTPC,2019-08-14,117.6,2019-09-13,122.35,4.04,19,Oversold-Decel,ExitReason.CTS_NEAR_MISS_ROLLOVER
NTPC,2019-09-30,117.5,2019-10-17,117.7,0.17,11,SavgolCTS Universal-Cross,ExitReason.ST_CROSS
NTPC,2020-03-03,108.9,2020-04-24,94.75,-12.99,33,Oversold-Decel,ExitReason.ST_CROSS
NTPC,2020-10-05,84.45,2020-11-04,86.15,2.01,22,Oversold-Decel,ExitReason.ST_CROSS
NTPC,2021-11-29,126.5,2022-01-19,134.1,6.01,37,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
NTPC,2022-02-24,124.4,2022-05-06,156.45,25.76,46,SavgolCTS Flow-Momentum,ExitReason.CWC_SLOPE_EARLY_RELEASE
NTPC,2024-11-29,363.65,2025-01-15,312.55,-14.05,32,Oversold-Decel,ExitReason.ST_CROSS
NTPC,2025-01-29,321.25,2025-04-17,359.25,11.83,51,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
